Store_ID,Home_Hub_ID,City,Store_Type
ST001,HUB-DEL,Delhi,major
ST006,HUB-DEL,Gurgaon,major
ST035,HUB-BOM,Nagpur,minor
ST014,HUB-DEL,Agra,minor
ST046,HUB-BLR,Bengaluru,major
ST054,HUB-BLR,Coimbatore,minor
ST058,HUB-BLR,Tirupati,minor
ST026,HUB-BOM,Surat,major
ST048,HUB-BLR,Chennai,major
ST013,HUB-DEL,Agra,minor
ST050,HUB-BLR,Chennai,major
ST004,HUB-DEL,Gurgaon,major
ST037,HUB-BOM,Bhopal,minor
ST032,HUB-BOM,Thane,major
ST009,HUB-DEL,Noida,major
ST018,HUB-DEL,Kanpur,minor
ST007,HUB-DEL,Noida,major
ST005,HUB-DEL,Gurgaon,major
ST055,HUB-BLR,Coimbatore,minor
ST020,HUB-DEL,Patna,minor
ST031,HUB-BOM,Ahmedabad,major
ST051,HUB-BLR,Hyderabad,major
ST045,HUB-BLR,Bengaluru,major
ST056,HUB-BLR,Kochi,minor
ST016,HUB-DEL,Lucknow,minor
ST010,HUB-DEL,Jaipur,major
ST028,HUB-BOM,Surat,major
ST027,HUB-BOM,Surat,major
ST017,HUB-DEL,Kanpur,minor
ST025,HUB-BOM,Pune,major
ST034,HUB-BOM,Thane,major
ST057,HUB-BLR,Kochi,minor
ST042,HUB-BOM,Indore,minor
ST012,HUB-DEL,Jaipur,major
ST033,HUB-BOM,Thane,major
ST053,HUB-BLR,Hyderabad,major
ST041,HUB-BOM,Indore,minor
ST038,HUB-BOM,Bhopal,minor
ST030,HUB-BOM,Ahmedabad,major
ST044,HUB-BOM,Rajkot,minor
ST002,HUB-DEL,Delhi,major
ST022,HUB-DEL,Mathura,minor
ST003,HUB-DEL,Delhi,major
ST047,HUB-BLR,Bengaluru,major
ST040,HUB-BOM,Raipur,minor
ST036,HUB-BOM,Nagpur,minor
ST024,HUB-BOM,Pune,major
ST049,HUB-BLR,Chennai,major
ST011,HUB-DEL,Jaipur,major
ST023,HUB-BOM,Pune,major
ST019,HUB-DEL,Patna,minor
ST059,HUB-BLR,Tirupati,minor
ST021,HUB-DEL,Mathura,minor
ST008,HUB-DEL,Noida,major
ST043,HUB-BOM,Rajkot,minor
ST015,HUB-DEL,Lucknow,minor
ST029,HUB-BOM,Ahmedabad,major
ST052,HUB-BLR,Hyderabad,major
ST039,HUB-BOM,Raipur,minor
